order_id,customer_id,order_date,acquisition_channel,order_amount
ORD-000093,CUST-00032,2025-07-28,Paid Social,82.49
ORD-000094,CUST-00032,2025-09-03,Paid Social,73.21
ORD-000095,CUST-00032,2025-08-04,Paid Social,84.52
ORD-000096,CUST-00033,2025-09-01,Paid Social,94.0
ORD-000097,CUST-00033,2025-09-03,Paid Social,87.13
ORD-000098,CUST-00034,2025-07-14,Paid Social,36.72
ORD-000099,CUST-00035,2025-08-21,Affiliate,93.12
ORD-000100,CUST-00035,2025-09-02,Affiliate,107.47
ORD-000101,CUST-00035,2025-09-22,Affiliate,124.52
ORD-000102,CUST-00035,2025-12-04,Affiliate,142.77
ORD-000103,CUST-00036,2025-08-07,Paid Search,124.66
ORD-000104,CUST-00036,2025-08-12,Paid Search,68.88
ORD-000105,CUST-00037,2025-06-30,Paid Social,77.21
ORD-000106,CUST-00037,2025-10-04,Paid Social,71.97
ORD-000107,CUST-00037,2025-11-17,Paid Social,70.9
ORD-000108,CUST-00037,2025-07-23,Paid Social,85.59
ORD-000109,CUST-00038,2025-09-19,Paid Search,137.25
ORD-000110,CUST-00038,2025-10-25,Paid Search,67.91
ORD-000111,CUST-00039,2025-04-11,Affiliate,82.49
ORD-000112,CUST-00039,2025-04-12,Affiliate,93.75
ORD-000113,CUST-00039,2025-11-03,Affiliate,90.61
ORD-000114,CUST-00039,2025-07-11,Affiliate,118.04
ORD-000115,CUST-00039,2025-04-17,Affiliate,97.41
ORD-000116,CUST-00040,2025-03-19,Paid Search,114.85
ORD-000117,CUST-00040,2025-04-23,Paid Search,143.13
ORD-000118,CUST-00040,2025-05-14,Paid Search,133.34
ORD-000119,CUST-00041,2025-07-07,Display,84.57
ORD-000120,CUST-00042,2025-06-01,Email,97.19
ORD-000121,CUST-00042,2025-07-29,Email,67.35
ORD-000122,CUST-00043,2025-05-10,Affiliate,81.27
ORD-000123,CUST-00043,2025-05-22,Affiliate,92.48
ORD-000124,CUST-00043,2025-07-19,Affiliate,81.11
ORD-000125,CUST-00043,2025-08-02,Affiliate,73.33
ORD-000126,CUST-00044,2025-07-13,Email,98.18
ORD-000127,CUST-00044,2025-12-15,Email,123.47
ORD-000128,CUST-00044,2025-08-18,Email,86.1
ORD-000129,CUST-00044,2025-08-19,Email,73.44
ORD-000130,CUST-00045,2025-01-12,Email,111.87
ORD-000131,CUST-00045,2025-02-20,Email,122.8
ORD-000132,CUST-00045,2025-05-10,Email,49.28
ORD-000133,CUST-00045,2025-01-25,Email,78.43
ORD-000134,CUST-00046,2025-10-18,Affiliate,99.07
ORD-000135,CUST-00046,2025-11-02,Affiliate,152.31
ORD-000136,CUST-00046,2025-10-18,Affiliate,121.29
ORD-000137,CUST-00047,2025-04-12,Email,111.6
ORD-000138,CUST-00047,2025-04-27,Email,119.25
ORD-000139,CUST-00047,2025-07-30,Email,104.46
ORD-000140,CUST-00047,2025-09-15,Email,72.52
ORD-000141,CUST-00047,2025-08-18,Email,95.79
ORD-000142,CUST-00048,2025-10-11,Affiliate,74.76
ORD-000143,CUST-00048,2025-11-23,Affiliate,141.1
ORD-000144,CUST-00049,2025-05-05,Paid Search,96.86
ORD-000145,CUST-00049,2025-05-09,Paid Search,98.39
ORD-000146,CUST-00049,2025-08-17,Paid Search,86.95
ORD-000147,CUST-00050,2025-04-22,Paid Social,42.59
ORD-000148,CUST-00050,2025-05-02,Paid Social,93.63
ORD-000149,CUST-00050,2025-07-29,Paid Social,53.84
ORD-000150,CUST-00050,2025-05-02,Paid Social,74.21
ORD-000151,CUST-00051,2025-08-21,Affiliate,64.35
ORD-000152,CUST-00051,2025-08-29,Affiliate,75.14
ORD-000153,CUST-00051,2025-09-08,Affiliate,68.71
ORD-000154,CUST-00052,2025-04-03,Affiliate,104.67
ORD-000155,CUST-00052,2025-04-15,Affiliate,109.67
ORD-000156,CUST-00052,2025-04-17,Affiliate,101.52
ORD-000157,CUST-00052,2025-04-30,Affiliate,163.1
ORD-000158,CUST-00052,2025-05-29,Affiliate,101.28
ORD-000159,CUST-00053,2025-03-11,Affiliate,96.57
ORD-000160,CUST-00053,2025-05-22,Affiliate,144.08
ORD-000161,CUST-00053,2025-03-11,Affiliate,109.06
ORD-000162,CUST-00054,2025-05-29,Email,65.44
ORD-000163,CUST-00054,2025-06-09,Email,106.0
ORD-000164,CUST-00054,2025-06-19,Email,82.22
ORD-000165,CUST-00054,2025-08-07,Email,80.17
ORD-000166,CUST-00054,2025-06-24,Email,83.8
ORD-000167,CUST-00055,2025-09-14,Organic Social,94.85
ORD-000168,CUST-00055,2025-11-19,Organic Social,61.42
ORD-000169,CUST-00056,2025-07-14,Paid Search,61.27
ORD-000170,CUST-00056,2025-09-18,Paid Search,86.6
ORD-000171,CUST-00056,2025-11-14,Paid Search,112.18
ORD-000172,CUST-00056,2025-10-13,Paid Search,111.42
ORD-000173,CUST-00057,2025-10-12,Paid Search,122.04
ORD-000174,CUST-00058,2025-04-29,Paid Search,93.53
ORD-000175,CUST-00058,2025-05-20,Paid Search,135.25
ORD-000176,CUST-00058,2025-06-13,Paid Search,65.0
ORD-000177,CUST-00059,2025-04-05,Organic Social,62.74
ORD-000178,CUST-00059,2025-07-17,Organic Social,50.44
ORD-000179,CUST-00059,2025-07-31,Organic Social,52.82
ORD-000180,CUST-00059,2025-05-06,Organic Social,66.52
ORD-000181,CUST-00059,2025-08-13,Organic Social,44.51
ORD-000182,CUST-00059,2025-12-16,Organic Social,78.78
ORD-000183,CUST-00060,2025-10-20,Paid Social,69.18
ORD-000184,CUST-00060,2025-10-27,Paid Social,85.68
ORD-000185,CUST-00061,2025-09-06,Display,63.76
ORD-000186,CUST-00061,2025-09-10,Display,66.31
ORD-000187,CUST-00061,2025-09-19,Display,72.24
ORD-000188,CUST-00062,2025-07-20,Paid Search,65.29
ORD-000189,CUST-00062,2025-08-24,Paid Search,92.85
ORD-000190,CUST-00062,2025-12-09,Paid Search,93.49
ORD-000191,CUST-00063,2025-05-26,Paid Search,105.06
ORD-000192,CUST-00063,2025-06-15,Paid Search,120.97
ORD-000193,CUST-00064,2025-11-17,Email,75.83
ORD-000194,CUST-00064,2025-12-28,Email,111.15
ORD-000195,CUST-00065,2025-01-21,Email,131.48
ORD-000196,CUST-00065,2025-01-31,Email,81.94
ORD-000197,CUST-00066,2025-08-06,Paid Search,141.98
ORD-000198,CUST-00066,2025-10-18,Paid Search,72.65
ORD-000199,CUST-00067,2025-07-21,Paid Social,41.12
ORD-000200,CUST-00067,2025-09-02,Paid Social,95.27
ORD-000201,CUST-00067,2025-08-16,Paid Social,59.67
ORD-000202,CUST-00068,2025-02-18,Paid Search,71.51
ORD-000203,CUST-00068,2025-04-26,Paid Search,101.05
ORD-000204,CUST-00069,2025-01-15,Email,97.26
ORD-000205,CUST-00069,2025-08-31,Email,78.09
ORD-000206,CUST-00069,2025-02-27,Email,83.17
ORD-000207,CUST-00070,2025-03-09,Paid Search,121.93
ORD-000208,CUST-00070,2025-06-27,Paid Search,87.95
ORD-000209,CUST-00070,2025-09-02,Paid Search,60.62
ORD-000210,CUST-00071,2025-02-25,Email,100.86
ORD-000211,CUST-00071,2025-04-18,Email,81.93
ORD-000212,CUST-00072,2025-04-29,Paid Search,133.89
ORD-000213,CUST-00072,2025-05-15,Paid Search,86.06
ORD-000214,CUST-00072,2025-05-03,Paid Search,137.51
ORD-000215,CUST-00073,2025-11-21,Email,96.25
ORD-000216,CUST-00073,2025-12-21,Email,91.16
ORD-000217,CUST-00074,2025-10-15,Paid Search,149.91
ORD-000218,CUST-00074,2025-11-24,Paid Search,97.86
ORD-000219,CUST-00074,2025-10-19,Paid Search,115.13
ORD-000220,CUST-00074,2025-12-04,Paid Search,124.86
ORD-000221,CUST-00075,2025-09-05,Paid Social,84.42
ORD-000222,CUST-00076,2025-07-04,Paid Social,84.31
ORD-000223,CUST-00076,2025-08-23,Paid Social,72.87
ORD-000224,CUST-00077,2025-10-17,Display,69.22
ORD-000225,CUST-00078,2025-08-28,Email,99.36
ORD-000226,CUST-00078,2025-10-13,Email,126.18
ORD-000227,CUST-00079,2025-04-16,Organic Social,78.77
ORD-000228,CUST-00079,2025-06-28,Organic Social,67.23
ORD-000229,CUST-00079,2025-07-28,Organic Social,41.96
ORD-000230,CUST-00079,2025-07-28,Organic Social,55.52
ORD-000231,CUST-00079,2025-08-02,Organic Social,77.17
ORD-000232,CUST-00080,2025-10-14,Organic Social,111.14
ORD-000233,CUST-00080,2025-11-13,Organic Social,58.5
ORD-000234,CUST-00080,2025-10-21,Organic Social,73.8
ORD-000235,CUST-00081,2025-07-18,Display,118.37
ORD-000236,CUST-00081,2025-11-13,Display,112.84
ORD-000237,CUST-00082,2025-07-02,Affiliate,89.71
ORD-000238,CUST-00082,2025-07-20,Affiliate,56.63
ORD-000239,CUST-00082,2025-11-26,Affiliate,132.78
ORD-000240,CUST-00083,2025-06-27,Email,77.01
ORD-000241,CUST-00083,2025-10-29,Email,72.4
ORD-000242,CUST-00083,2025-11-13,Email,154.68
ORD-000243,CUST-00083,2025-08-25,Email,89.52
ORD-000244,CUST-00084,2025-02-24,Display,52.22
ORD-000245,CUST-00084,2025-04-06,Display,81.09
ORD-000246,CUST-00084,2025-07-19,Display,97.96
ORD-000247,CUST-00085,2025-07-16,Email,121.84
ORD-000248,CUST-00085,2025-07-23,Email,58.85
ORD-000249,CUST-00086,2025-03-22,Paid Social,52.59
ORD-000250,CUST-00086,2025-03-30,Paid Social,99.82
ORD-000251,CUST-00086,2025-08-01,Paid Social,106.86
ORD-000252,CUST-00086,2025-09-11,Paid Social,93.14
ORD-000253,CUST-00086,2025-10-29,Paid Social,86.74
ORD-000254,CUST-00086,2025-12-10,Paid Social,59.37
ORD-000255,CUST-00087,2025-04-28,Paid Social,68.41
ORD-000256,CUST-00087,2025-08-23,Paid Social,69.59
ORD-000257,CUST-00087,2025-09-19,Paid Social,111.36
ORD-000258,CUST-00087,2025-06-28,Paid Social,89.05
ORD-000259,CUST-00088,2025-05-27,Email,118.89
ORD-000260,CUST-00088,2025-07-06,Email,70.68
ORD-000261,CUST-00088,2025-06-09,Email,145.07
ORD-000262,CUST-00088,2025-05-29,Email,57.91
ORD-000263,CUST-00088,2025-06-30,Email,69.19
ORD-000264,CUST-00088,2025-06-06,Email,49.34
ORD-000265,CUST-00089,2025-01-01,Display,46.52
ORD-000266,CUST-00090,2025-08-09,Paid Social,41.52
ORD-000267,CUST-00090,2025-08-09,Paid Social,69.89
ORD-000268,CUST-00090,2025-08-12,Paid Social,58.84
ORD-000269,CUST-00091,2025-01-07,Paid Search,92.63
ORD-000270,CUST-00091,2025-03-24,Paid Search,85.02
ORD-000271,CUST-00091,2025-03-24,Paid Search,56.32
ORD-000272,CUST-00092,2025-05-15,Paid Social,118.58
ORD-000273,CUST-00092,2025-07-24,Paid Social,68.83
ORD-000274,CUST-00092,2025-12-09,Paid Social,39.21
ORD-000275,CUST-00093,2025-10-31,Organic Social,50.07
ORD-000276,CUST-00093,2025-12-31,Organic Social,64.8
ORD-000277,CUST-00094,2025-11-03,Paid Search,116.45
ORD-000278,CUST-00094,2025-11-10,Paid Search,75.55
ORD-000279,CUST-00095,2025-05-01,Email,99.6
ORD-000280,CUST-00095,2025-06-23,Email,111.09
ORD-000281,CUST-00095,2025-11-11,Email,104.58
ORD-000282,CUST-00095,2025-06-26,Email,144.09
ORD-000283,CUST-00096,2025-09-12,Organic Social,121.62
ORD-000284,CUST-00096,2025-09-30,Organic Social,27.1
ORD-000285,CUST-00096,2025-12-16,Organic Social,37.71
ORD-000286,CUST-00096,2025-10-04,Organic Social,64.43
ORD-000287,CUST-00096,2025-10-16,Organic Social,75.81
ORD-000288,CUST-00097,2025-09-16,Paid Social,75.69
ORD-000289,CUST-00097,2025-10-15,Paid Social,54.96
ORD-000290,CUST-00098,2025-11-20,Affiliate,97.19
ORD-000291,CUST-00098,2025-12-17,Affiliate,63.57
ORD-000292,CUST-00099,2025-01-22,Affiliate,120.65
ORD-000293,CUST-00099,2025-02-08,Affiliate,108.52
ORD-000294,CUST-00099,2025-04-30,Affiliate,81.54
ORD-000295,CUST-00100,2025-06-11,Paid Social,78.01
ORD-000296,CUST-00100,2025-08-05,Paid Social,73.09
ORD-000297,CUST-00101,2025-02-14,Paid Search,90.69
ORD-000298,CUST-00101,2025-04-25,Paid Search,119.3
ORD-000299,CUST-00102,2025-02-07,Paid Search,118.54
ORD-000300,CUST-00102,2025-02-22,Paid Search,58.84
ORD-000301,CUST-00102,2025-03-26,Paid Search,100.22
ORD-000302,CUST-00102,2025-06-24,Paid Search,91.78
ORD-000303,CUST-00103,2025-08-26,Paid Social,71.81
ORD-000304,CUST-00103,2025-09-18,Paid Social,69.06
ORD-000305,CUST-00103,2025-10-18,Paid Social,129.04
ORD-000306,CUST-00103,2025-10-06,Paid Social,111.46
ORD-000307,CUST-00103,2025-08-28,Paid Social,126.42
ORD-000308,CUST-00103,2025-12-20,Paid Social,54.69
ORD-000309,CUST-00104,2025-04-06,Organic Social,82.19
ORD-000310,CUST-00104,2025-05-25,Organic Social,68.26
ORD-000311,CUST-00104,2025-06-11,Organic Social,104.37
ORD-000312,CUST-00105,2025-02-02,Paid Search,47.07
ORD-000313,CUST-00105,2025-03-02,Paid Search,87.43
ORD-000314,CUST-00106,2025-06-24,Organic Social,107.48
ORD-000315,CUST-00106,2025-07-15,Organic Social,89.76
ORD-000316,CUST-00106,2025-08-04,Organic Social,47.1
ORD-000317,CUST-00106,2025-09-09,Organic Social,69.65
ORD-000318,CUST-00107,2025-11-09,Paid Search,117.57
ORD-000319,CUST-00107,2025-12-10,Paid Search,124.14
ORD-000320,CUST-00108,2025-04-15,Organic Social,39.57
ORD-000321,CUST-00108,2025-06-13,Organic Social,73.39
ORD-000322,CUST-00108,2025-08-19,Organic Social,87.41
ORD-000323,CUST-00108,2025-04-26,Organic Social,47.64
ORD-000324,CUST-00109,2025-08-14,Paid Search,75.81
ORD-000325,CUST-00109,2025-10-02,Paid Search,104.73
ORD-000326,CUST-00110,2025-07-31,Email,101.57
ORD-000327,CUST-00110,2025-12-07,Email,115.51
ORD-000328,CUST-00110,2025-10-17,Email,83.88
ORD-000329,CUST-00111,2025-02-27,Paid Search,77.97
ORD-000330,CUST-00111,2025-05-04,Paid Search,114.96
ORD-000331,CUST-00111,2025-06-26,Paid Search,122.72
ORD-000332,CUST-00111,2025-05-30,Paid Search,123.83
ORD-000333,CUST-00112,2025-08-19,Paid Search,88.54
ORD-000334,CUST-00112,2025-10-12,Paid Search,69.92
ORD-000335,CUST-00112,2025-10-13,Paid Search,123.0
ORD-000336,CUST-00113,2025-08-12,Paid Search,106.1
ORD-000337,CUST-00113,2025-11-09,Paid Search,112.65
ORD-000338,CUST-00113,2025-08-27,Paid Search,83.74
ORD-000339,CUST-00114,2025-02-13,Paid Search,126.42
ORD-000340,CUST-00114,2025-03-12,Paid Search,119.59
ORD-000341,CUST-00115,2025-08-27,Paid Search,98.81
ORD-000342,CUST-00115,2025-09-24,Paid Search,82.61
ORD-000343,CUST-00115,2025-10-18,Paid Search,93.05
ORD-000344,CUST-00116,2025-11-01,Email,57.29
ORD-000345,CUST-00116,2025-12-31,Email,50.42
ORD-000346,CUST-00117,2025-02-06,Paid Social,70.83
ORD-000347,CUST-00117,2025-04-26,Paid Social,80.05
ORD-000348,CUST-00117,2025-04-04,Paid Social,41.76
ORD-000349,CUST-00118,2025-02-02,Display,99.83
ORD-000350,CUST-00119,2025-10-15,Display,73.57
ORD-000351,CUST-00119,2025-11-27,Display,81.43
ORD-000352,CUST-00120,2025-04-10,Affiliate,141.1
ORD-000353,CUST-00120,2025-05-03,Affiliate,138.47
ORD-000354,CUST-00120,2025-04-11,Affiliate,64.64
ORD-000355,CUST-00120,2025-06-23,Affiliate,81.88
ORD-000356,CUST-00121,2025-10-24,Affiliate,72.5
ORD-000357,CUST-00121,2025-10-25,Affiliate,81.97
ORD-000358,CUST-00122,2025-04-23,Affiliate,95.77
ORD-000359,CUST-00122,2025-04-24,Affiliate,158.83
ORD-000360,CUST-00122,2025-04-28,Affiliate,83.1
ORD-000361,CUST-00123,2025-05-04,Paid Social,56.75
ORD-000362,CUST-00123,2025-06-02,Paid Social,66.95
ORD-000363,CUST-00123,2025-07-02,Paid Social,89.76
ORD-000364,CUST-00124,2025-08-27,Paid Social,98.35
ORD-000365,CUST-00124,2025-11-14,Paid Social,72.0
ORD-000366,CUST-00124,2025-11-03,Paid Social,113.58
ORD-000367,CUST-00125,2025-10-12,Paid Social,85.22
ORD-000368,CUST-00125,2025-10-14,Paid Social,70.79
ORD-000369,CUST-00126,2025-01-28,Email,69.14
ORD-000370,CUST-00126,2025-02-24,Email,119.26
ORD-000371,CUST-00127,2025-08-24,Paid Social,78.48
ORD-000372,CUST-00127,2025-11-21,Paid Social,99.83
ORD-000373,CUST-00127,2025-09-18,Paid Social,43.87
ORD-000374,CUST-00127,2025-09-12,Paid Social,68.01
ORD-000375,CUST-00128,2025-10-14,Email,68.97
ORD-000376,CUST-00128,2025-10-22,Email,128.42
ORD-000377,CUST-00129,2025-05-22,Paid Search,100.7
ORD-000378,CUST-00129,2025-06-09,Paid Search,114.46
ORD-000379,CUST-00129,2025-06-16,Paid Search,149.37
ORD-000380,CUST-00130,2025-08-24,Paid Search,69.04
ORD-000381,CUST-00130,2025-10-23,Paid Search,116.83
ORD-000382,CUST-00131,2025-07-28,Display,62.07
ORD-000383,CUST-00131,2025-08-22,Display,67.03
ORD-000384,CUST-00131,2025-10-09,Display,111.18
ORD-000385,CUST-00131,2025-11-18,Display,77.7
ORD-000386,CUST-00132,2025-10-15,Paid Search,146.12
ORD-000387,CUST-00132,2025-10-28,Paid Search,95.23
ORD-000388,CUST-00133,2025-07-16,Paid Search,55.67
ORD-000389,CUST-00133,2025-11-02,Paid Search,133.13
ORD-000390,CUST-00133,2025-07-30,Paid Search,92.37
ORD-000391,CUST-00134,2025-02-13,Paid Search,73.14
ORD-000392,CUST-00134,2025-03-13,Paid Search,101.89
ORD-000393,CUST-00134,2025-03-02,Paid Search,133.95
ORD-000394,CUST-00134,2025-03-24,Paid Search,68.87
ORD-000395,CUST-00134,2025-12-13,Paid Search,108.54
ORD-000396,CUST-00135,2025-01-22,Paid Social,49.48
ORD-000397,CUST-00135,2025-03-20,Paid Social,49.67
ORD-000398,CUST-00135,2025-02-15,Paid Social,121.2
ORD-000399,CUST-00136,2025-09-07,Paid Social,68.42
ORD-000400,CUST-00136,2025-11-02,Paid Social,37.98
ORD-000401,CUST-00136,2025-12-24,Paid Social,58.32
ORD-000402,CUST-00137,2025-05-20,Paid Social,49.83
ORD-000403,CUST-00137,2025-05-27,Paid Social,88.4
ORD-000404,CUST-00137,2025-08-11,Paid Social,85.36
ORD-000405,CUST-00138,2025-03-14,Paid Search,121.69
ORD-000406,CUST-00138,2025-06-11,Paid Search,117.42
ORD-000407,CUST-00139,2025-05-06,Paid Search,136.79
ORD-000408,CUST-00139,2025-05-25,Paid Search,87.84
ORD-000409,CUST-00139,2025-05-28,Paid Search,69.72
ORD-000410,CUST-00140,2025-05-12,Paid Search,130.38
ORD-000411,CUST-00140,2025-07-03,Paid Search,89.01
ORD-000412,CUST-00141,2025-05-18,Paid Social,47.05
ORD-000413,CUST-00141,2025-05-21,Paid Social,63.62
ORD-000414,CUST-00141,2025-06-01,Paid Social,45.14
ORD-000415,CUST-00142,2025-09-19,Paid Social,68.98
ORD-000416,CUST-00142,2025-11-12,Paid Social,78.25
ORD-000417,CUST-00142,2025-10-25,Paid Social,87.32
ORD-000418,CUST-00143,2025-08-25,Affiliate,126.25
ORD-000419,CUST-00143,2025-09-28,Affiliate,126.25
ORD-000420,CUST-00144,2025-04-09,Email,103.62
ORD-000421,CUST-00145,2025-09-13,Email,116.35
ORD-000422,CUST-00145,2025-09-30,Email,47.94
ORD-000423,CUST-00145,2025-09-22,Email,56.9
ORD-000424,CUST-00146,2025-02-26,Email,113.79
ORD-000425,CUST-00146,2025-03-19,Email,87.72
ORD-000426,CUST-00146,2025-06-21,Email,113.91
ORD-000427,CUST-00147,2025-03-17,Paid Social,63.54
ORD-000428,CUST-00147,2025-04-24,Paid Social,50.98
ORD-000429,CUST-00147,2025-06-20,Paid Social,94.25
ORD-000430,CUST-00148,2025-09-05,Organic Social,92.67
ORD-000431,CUST-00148,2025-09-25,Organic Social,117.39
ORD-000432,CUST-00148,2025-12-08,Organic Social,68.62
ORD-000433,CUST-00148,2025-09-15,Organic Social,98.75
ORD-000434,CUST-00149,2025-03-01,Paid Search,60.36
ORD-000435,CUST-00149,2025-03-22,Paid Search,94.57
ORD-000436,CUST-00149,2025-09-21,Paid Search,73.87
ORD-000437,CUST-00149,2025-07-04,Paid Search,81.56
ORD-000438,CUST-00150,2025-06-06,Paid Search,62.93
ORD-000439,CUST-00150,2025-08-06,Paid Search,122.29
ORD-000440,CUST-00150,2025-07-24,Paid Search,153.78
ORD-000441,CUST-00150,2025-10-11,Paid Search,85.68
ORD-000442,CUST-00151,2025-04-14,Paid Search,70.87
ORD-000443,CUST-00151,2025-04-28,Paid Search,122.8
ORD-000444,CUST-00151,2025-07-06,Paid Search,71.58
ORD-000445,CUST-00151,2025-04-23,Paid Search,102.11
ORD-000446,CUST-00151,2025-06-03,Paid Search,59.79
ORD-000447,CUST-00152,2025-03-30,Affiliate,154.05
ORD-000448,CUST-00152,2025-04-18,Affiliate,91.4
ORD-000449,CUST-00153,2025-09-14,Organic Social,107.46
ORD-000450,CUST-00153,2025-10-18,Organic Social,62.37
ORD-000451,CUST-00154,2025-03-10,Affiliate,120.4
ORD-000452,CUST-00154,2025-04-17,Affiliate,144.91
ORD-000453,CUST-00154,2025-10-01,Affiliate,157.81
ORD-000454,CUST-00154,2025-05-28,Affiliate,140.12
ORD-000455,CUST-00155,2025-03-06,Paid Social,59.47
ORD-000456,CUST-00155,2025-04-29,Paid Social,78.63
ORD-000457,CUST-00155,2025-06-18,Paid Social,64.18
ORD-000458,CUST-00155,2025-12-03,Paid Social,71.76
ORD-000459,CUST-00156,2025-10-31,Organic Social,74.86
