"date","campaign_id","channel","impressions","clicks","spend","spend_estimated","conversions","revenue"
"2025-07-05","CMP-1000","Paid Search",1339,57,131.01,False,2,201.61
"2025-06-21","CMP-1000","Paid Search",1685,73,128.65,False,5,523.78
"2025-04-02","CMP-1000","Paid Search",2708,164,405.93,False,4,550.54
"2025-07-02","CMP-1000","Paid Search",2929,158,174.94,False,7,644.94
"2025-04-13","CMP-1000","Paid Search",1207,68,98.62,False,3,150.67
"2025-06-25","CMP-1000","Paid Search",1850,108,217.98,False,9,1139.59
"2025-04-05","CMP-1000","Paid Search",1692,57,100.08,False,4,442.79
"2025-03-04","CMP-1000","Paid Search",2209,100,162.79,False,4,552.18
"2025-07-07","CMP-1000","Paid Search",2701,188,359.19,False,8,924.7
"2025-03-25","CMP-1000","Paid Search",2497,119,247.85,False,11,1341.52
"2025-05-06","CMP-1000","Paid Search",3194,174,403.57,False,7,592.39
"2025-04-17","CMP-1000","Paid Search",2099,76,154.34,False,3,284.08
"2025-05-01","CMP-1000","Paid Search",1718,61,129.15,False,2,157.44
"2025-06-19","CMP-1000","Paid Search",2570,76,90.06,False,6,901.8
"2025-08-02","CMP-1000","Paid Search",1657,54,74.85,False,5,685.32
"2025-05-14","CMP-1000","Paid Search",2113,122,314.64,False,5,538.13
"2025-04-03","CMP-1000","Paid Search",1445,61,62.77,False,2,276.34
"2025-07-22","CMP-1000","Paid Search",2248,125,200.5,False,10,655.04
"2025-08-07","CMP-1000","Paid Search",2416,132,126.72,False,10,952.33
"2025-07-08","CMP-1000","Paid Search",1706,36,67.8,False,0,0.0
"2025-03-09","CMP-1000","Paid Search",1897,60,108.2,False,7,1027.74
"2025-03-26","CMP-1000","Paid Search",3208,121,204.28,False,5,564.9
"2025-04-01","CMP-1000","Paid Search",2740,74,180.34,False,6,430.87
"2025-06-17","CMP-1000","Paid Search",1822,84,112.46,False,4,314.6
"2025-06-15","CMP-1000","Paid Search",1218,46,90.79,False,3,413.93
"2025-03-27","CMP-1000","Paid Search",1509,65,149.39,False,4,611.85
"2025-08-13","CMP-1000","Paid Search",2380,124,277.22,False,9,738.03
"2025-07-14","CMP-1000","Paid Search",1858,73,181.98,False,1,100.64
"2025-08-04","CMP-1000","Paid Search",2467,102,179.51,False,7,804.91
"2025-06-06","CMP-1000","Paid Search",2116,50,78.36,False,4,439.47
"2025-07-30","CMP-1000","Paid Search",2553,161,178.12,False,14,1513.7
"2025-06-16","CMP-1000","Paid Search",2073,90,118.83,False,5,490.83
"2025-05-27","CMP-1000","Paid Search",2874,137,166.38,True,8,534.3
"2025-05-10","CMP-1000","Paid Search",1904,60,75.92,False,3,327.19
"2025-04-16","CMP-1000","Paid Search",2371,114,246.23,False,5,633.83
"2025-03-28","CMP-1000","Paid Search",2790,95,242.14,False,5,478.91
"2025-02-27","CMP-1000","Paid Search",2153,118,154.72,False,6,568.87
"2025-08-09","CMP-1000","Paid Search",1198,75,67.91,False,3,227.86
"2025-04-15","CMP-1000","Paid Search",2718,100,219.24,False,4,437.22
"2025-04-25","CMP-1000","Paid Search",2324,113,112.22,False,2,163.26
"2025-07-04","CMP-1000","Paid Search",2497,133,167.64,False,6,930.58
"2025-04-14","CMP-1000","Paid Search",1670,79,135.72,False,3,213.27
"2025-05-23","CMP-1000","Paid Search",2072,106,202.25,False,7,578.1
"2025-03-02","CMP-1000","Paid Search",1981,127,171.56,False,10,1206.24
"2025-07-21","CMP-1000","Paid Search",2368,116,164.79,False,7,606.08
"2025-06-29","CMP-1000","Paid Search",2031,92,86.81,False,3,270.31
"2025-08-05","CMP-1000","Paid Search",1514,53,116.28,False,0,0.0
"2025-07-23","CMP-1000","Paid Search",2062,30,65.77,False,1,54.15
"2025-08-06","CMP-1000","Paid Search",2215,87,160.4,False,4,404.89
"2025-06-13","CMP-1000","Paid Search",1834,91,86.64,False,7,689.19
"2025-04-10","CMP-1000","Paid Search",2140,81,151.5,False,1,76.29
"2025-07-13","CMP-1000","Paid Search",2103,104,109.36,False,7,888.97
"2025-02-20","CMP-1000","Paid Search",1966,86,207.89,False,10,869.4
"2025-02-21","CMP-1000","Paid Search",2195,89,210.33,False,4,303.78
"2025-02-25","CMP-1000","Paid Search",1969,108,195.57,False,1,101.2
"2025-02-23","CMP-1000","Paid Search",1720,49,47.17,False,0,0.0
"2025-05-07","CMP-1000","Paid Search",2382,81,162.6,False,0,0.0
"2025-06-07","CMP-1000","Paid Search",1841,85,91.66,False,5,513.69
"2025-06-20","CMP-1000","Paid Search",2728,135,183.41,False,12,705.67
"2025-05-17","CMP-1000","Paid Search",2175,101,243.02,False,0,0.0
"2025-04-23","CMP-1000","Paid Search",2417,84,78.19,False,11,1358.07
"2025-06-18","CMP-1000","Paid Search",2282,120,142.63,False,4,387.49
"2025-03-07","CMP-1000","Paid Search",2897,134,142.01,False,6,625.55
"2025-07-26","CMP-1000","Paid Search",2081,76,177.04,False,8,989.1
"2025-03-15","CMP-1000","Paid Search",1136,65,158.54,False,1,80.19
"2025-02-17","CMP-1000","Paid Search",1676,93,135.11,False,9,999.34
"2025-03-17","CMP-1000","Paid Search",2530,100,221.99,False,9,831.71
"2025-03-18","CMP-1000","Paid Search",2643,127,223.38,False,9,898.08
"2025-07-15","CMP-1000","Paid Search",2462,150,388.0,False,11,797.78
"2025-03-14","CMP-1000","Paid Search",2783,116,118.32,False,6,816.25
"2025-06-26","CMP-1000","Paid Search",2970,166,241.69,False,14,1832.36
"2025-05-24","CMP-1000","Paid Search",1895,124,197.7,False,5,461.92
"2025-03-10","CMP-1000","Paid Search",1462,77,126.76,False,2,169.12
"2025-06-30","CMP-1000","Paid Search",3266,169,154.27,False,9,1241.42
"2025-03-24","CMP-1000","Paid Search",2256,104,133.13,False,12,868.62
"2025-03-21","CMP-1000","Paid Search",2555,156,326.3,False,4,568.62
"2025-07-01","CMP-1000","Paid Search",1989,93,128.74,False,7,557.64
"2025-04-11","CMP-1000","Paid Search",2032,81,96.77,False,4,294.74
"2025-06-10","CMP-1000","Paid Search",2326,84,87.04,False,7,737.27
"2025-05-02","CMP-1000","Paid Search",2342,95,123.97,False,6,741.85
"2025-07-31","CMP-1000","Paid Search",2035,134,253.28,False,10,744.16
"2025-02-18","CMP-1000","Paid Search",2451,98,175.29,False,2,124.27
"2025-03-20","CMP-1000","Paid Search",2781,142,141.69,False,5,518.33
"2025-04-08","CMP-1000","Paid Search",2932,53,81.69,False,1,117.05
"2025-05-26","CMP-1000","Paid Search",1622,65,131.26,False,5,601.08
"2025-04-20","CMP-1000","Paid Search",1884,112,250.95,False,4,437.43
"2025-05-29","CMP-1000","Paid Search",2569,181,397.07,False,10,1111.4
"2025-04-12","CMP-1000","Paid Search",1847,95,127.15,False,10,943.22
"2025-03-03","CMP-1000","Paid Search",3434,172,366.04,False,10,1428.91
"2025-04-28","CMP-1000","Paid Search",1880,123,197.4,False,7,844.95
"2025-03-23","CMP-1000","Paid Search",1093,55,93.32,False,4,391.38
"2025-04-30","CMP-1000","Paid Search",2876,35,64.8,False,3,391.95
"2025-07-20","CMP-1000","Paid Search",1512,72,79.66,False,4,252.07
"2025-05-08","CMP-1000","Paid Search",2973,169,414.81,False,4,222.4
"2025-05-21","CMP-1000","Paid Search",1836,108,208.78,False,2,156.43
"2025-03-22","CMP-1000","Paid Search",1276,28,72.13,False,0,0.0
"2025-06-04","CMP-1000","Paid Search",2443,126,310.65,False,9,655.15
"2025-07-16","CMP-1000","Paid Search",2119,132,209.23,False,7,879.52
"2025-06-02","CMP-1000","Paid Search",1771,125,204.37,False,7,683.35
"2025-04-21","CMP-1000","Paid Search",2331,89,96.84,False,4,299.43
"2025-03-06","CMP-1001","Paid Search",3884,207,443.48,False,8,820.97
"2025-04-10","CMP-1001","Paid Search",3156,190,217.06,False,6,401.24
"2025-04-13","CMP-1001","Paid Search",2833,120,262.27,False,5,334.16
"2025-04-15","CMP-1001","Paid Search",3013,148,324.89,False,6,543.96
"2025-04-08","CMP-1001","Paid Search",2484,133,270.03,True,9,1040.07
"2025-05-15","CMP-1001","Paid Search",3070,154,240.22,False,4,578.87
"2025-03-21","CMP-1001","Paid Search",2500,122,172.84,False,11,1358.1
"2025-04-21","CMP-1001","Paid Search",4568,252,581.31,False,22,1922.41
"2025-05-05","CMP-1001","Paid Search",3839,204,256.04,False,3,312.63
"2025-03-07","CMP-1001","Paid Search",3893,201,232.58,False,12,1156.78
"2025-03-05","CMP-1001","Paid Search",3628,226,390.72,False,3,430.96
"2025-03-24","CMP-1001","Paid Search",4328,163,355.62,False,9,1106.84
"2025-05-25","CMP-1001","Paid Search",2668,164,270.03,True,13,1356.66
"2025-03-09","CMP-1001","Paid Search",2646,178,325.25,False,12,1076.36
"2025-05-03","CMP-1001","Paid Search",3319,137,144.1,False,6,795.23
"2025-04-03","CMP-1001","Paid Search",3618,130,226.07,False,5,438.13
"2025-03-27","CMP-1001","Paid Search",4346,151,391.43,False,4,564.84
"2025-05-28","CMP-1001","Paid Search",3508,174,415.69,False,4,260.08
"2025-03-22","CMP-1001","Paid Search",3207,172,350.92,False,6,589.69
"2025-03-08","CMP-1001","Paid Search",2352,97,176.93,False,5,335.94
"2025-03-28","CMP-1001","Paid Search",3197,135,275.08,False,8,866.36
"2025-04-02","CMP-1001","Paid Search",4588,186,260.2,False,6,700.24
"2025-05-26","CMP-1001","Paid Search",4377,179,306.05,False,6,448.8
"2025-05-30","CMP-1001","Paid Search",4679,266,376.39,False,24,1613.2
"2025-05-08","CMP-1001","Paid Search",3971,174,173.78,False,8,913.01
"2025-04-30","CMP-1001","Paid Search",3074,171,270.03,True,9,851.94
"2025-05-06","CMP-1001","Paid Search",4692,208,419.64,False,12,1360.32
"2025-04-27","CMP-1001","Paid Search",3220,178,282.11,False,5,573.95
"2025-03-31","CMP-1001","Paid Search",3765,164,160.33,False,13,1046.73
"2025-03-14","CMP-1001","Paid Search",3607,132,265.62,False,7,412.45
"2025-04-20","CMP-1001","Paid Search",3011,178,221.7,False,8,904.37
"2025-04-04","CMP-1001","Paid Search",4413,179,255.24,False,6,394.28
"2025-03-04","CMP-1001","Paid Search",4368,250,336.22,False,13,1039.33
"2025-04-28","CMP-1001","Paid Search",3731,221,377.9,False,22,2086.94
"2025-03-30","CMP-1001","Paid Search",2751,101,254.11,False,8,939.96
"2025-04-25","CMP-1001","Paid Search",4660,258,271.06,False,10,923.46
"2025-05-21","CMP-1001","Paid Search",3177,163,284.94,False,8,867.61
"2025-03-17","CMP-1001","Paid Search",3628,94,141.78,False,6,442.39
"2025-05-14","CMP-1001","Paid Search",4209,185,237.38,False,10,1186.14
"2025-04-23","CMP-1001","Paid Search",3825,146,205.71,False,9,654.94
"2025-05-01","CMP-1001","Paid Search",3358,120,260.72,False,4,466.95
"2025-05-11","CMP-1001","Paid Search",3227,164,152.49,False,12,975.93
"2025-05-04","CMP-1001","Paid Search",3149,109,117.62,False,3,298.49
"2025-04-07","CMP-1001","Paid Search",3415,189,341.66,False,5,496.61
"2025-04-14","CMP-1001","Paid Search",3774,199,458.78,False,10,911.36
"2025-03-15","CMP-1001","Paid Search",2978,140,225.43,False,8,785.87
"2025-05-27","CMP-1001","Paid Search",4451,185,188.2,False,9,1203.58
"2025-05-12","CMP-1001","Paid Search",4521,156,146.66,False,11,1088.97
"2025-03-20","CMP-1001","Paid Search",3517,153,196.79,False,8,996.12
"2025-05-18","CMP-1001","Paid Search",2586,110,138.12,False,9,721.91
"2025-03-11","CMP-1001","Paid Search",3589,176,389.39,False,12,1188.58
"2025-04-09","CMP-1001","Paid Search",4038,218,314.37,False,6,780.51
"2025-04-29","CMP-1001","Paid Search",4778,129,226.43,False,13,744.37
"2025-05-16","CMP-1001","Paid Search",3656,72,72.41,False,1,165.19
"2025-04-12","CMP-1001","Paid Search",3859,147,139.18,False,8,505.28
"2025-04-17","CMP-1001","Paid Search",2090,80,156.41,False,1,85.53
"2025-05-20","CMP-1001","Paid Search",3857,226,270.03,True,16,1746.01
"2025-05-09","CMP-1001","Paid Search",3680,133,239.75,False,7,961.0
"2025-03-26","CMP-1001","Paid Search",3110,104,253.23,False,7,1002.38
"2025-05-02","CMP-1001","Paid Search",3245,182,247.46,False,11,1571.18
"2025-03-29","CMP-1001","Paid Search",3642,152,299.93,False,10,1084.84
"2025-03-10","CMP-1001","Paid Search",3392,121,264.56,False,6,789.63
"2025-05-17","CMP-1001","Paid Search",2045,100,102.96,False,6,583.92
"2025-05-31","CMP-1001","Paid Search",3285,130,273.76,False,9,1155.82
"2025-05-23","CMP-1001","Paid Search",4352,184,452.88,False,9,1172.1
"2025-03-23","CMP-1001","Paid Search",2952,161,175.2,False,9,1190.14
"2025-04-18","CMP-1001","Paid Search",2785,153,325.53,False,8,995.59
"2025-03-16","CMP-1001","Paid Search",3494,241,293.68,False,15,1805.59
"2025-05-24","CMP-1001","Paid Search",3089,84,109.93,False,3,171.28
"2025-05-10","CMP-1001","Paid Search",3924,179,396.3,False,7,430.33
"2025-03-13","CMP-1001","Paid Search",4659,228,411.8,False,17,1328.01
"2025-03-18","CMP-1001","Paid Search",4419,224,255.66,False,12,1072.09
"2025-05-07","CMP-1001","Paid Search",2765,140,301.79,False,9,909.31
"2025-04-16","CMP-1001","Paid Search",2967,125,186.3,False,4,450.93
"2025-04-11","CMP-1001","Paid Search",4744,302,482.1,False,23,1808.15
"2025-03-12","CMP-1001","Paid Search",4045,157,348.31,False,5,541.69
"2025-03-03","CMP-1001","Paid Search",3980,171,365.97,False,8,593.19
"2025-04-22","CMP-1001","Paid Search",4644,220,528.42,False,15,1420.15
"2025-04-26","CMP-1001","Paid Search",2780,96,241.06,False,0,0.0
"2025-04-19","CMP-1001","Paid Search",3018,116,290.57,False,12,1045.23
"2025-05-22","CMP-1001","Paid Search",3358,105,99.71,False,6,486.35
"2025-03-25","CMP-1001","Paid Search",4073,171,224.22,False,8,836.79
"2025-03-19","CMP-1001","Paid Search",2789,177,453.91,False,8,710.38
"2025-04-06","CMP-1001","Paid Search",3144,136,124.74,False,10,1329.25
"2025-05-13","CMP-1001","Paid Search",2732,95,125.33,False,8,511.46
"2025-04-05","CMP-1001","Paid Search",3714,199,333.44,False,7,814.86
"2025-05-19","CMP-1001","Paid Search",2734,140,270.03,True,6,743.51
"2025-05-29","CMP-1001","Paid Search",4078,152,271.82,False,5,352.04
"2025-04-01","CMP-1001","Paid Search",2866,111,138.96,False,1,77.58
"2025-04-24","CMP-1001","Paid Search",3468,171,396.39,False,9,1140.86
"2025-03-02","CMP-1001","Paid Search",2637,57,69.33,False,3,241.52
"2025-05-30","CMP-1002","Paid Search",1255,73,129.54,False,3,298.3
"2025-07-20","CMP-1002","Paid Search",816,16,38.33,False,0,0.0
"2025-02-17","CMP-1002","Paid Search",942,41,88.39,False,1,59.34
"2025-06-30","CMP-1002","Paid Search",1249,38,57.12,False,1,132.37
"2025-02-04","CMP-1002","Paid Search",1130,47,99.7,False,4,428.08
"2025-05-04","CMP-1002","Paid Search",821,30,35.58,False,1,110.4
"2025-05-22","CMP-1002","Paid Search",1347,91,200.8,False,4,394.46
"2025-04-07","CMP-1002","Paid Search",830,40,60.98,False,4,452.9
"2025-06-09","CMP-1002","Paid Search",821,16,38.43,False,0,0.0
"2025-02-20","CMP-1002","Paid Search",1187,48,78.09,False,7,420.9
"2025-05-23","CMP-1002","Paid Search",885,46,88.79,False,2,302.18
"2025-07-28","CMP-1002","Paid Search",1080,35,53.92,False,0,0.0
"2025-02-24","CMP-1002","Paid Search",1126,54,136.07,False,2,233.69
"2025-06-02","CMP-1002","Paid Search",1077,37,34.92,False,2,211.5
"2025-07-27","CMP-1002","Paid Search",578,27,39.78,False,0,0.0
"2025-03-01","CMP-1002","Paid Search",793,38,60.81,False,2,151.26
"2025-07-17","CMP-1002","Paid Search",876,65,151.19,False,4,576.5
"2025-04-06","CMP-1002","Paid Search",652,36,43.59,False,4,596.24
"2025-04-14","CMP-1002","Paid Search",1264,51,56.78,False,3,339.72
"2025-04-16","CMP-1002","Paid Search",1130,53,108.83,False,7,873.81
"2025-06-18","CMP-1002","Paid Search",796,34,74.74,False,1,67.29
"2025-04-17","CMP-1002","Paid Search",870,45,41.29,False,4,614.66
"2025-02-01","CMP-1002","Paid Search",928,35,79.52,False,1,123.07
"2025-02-28","CMP-1002","Paid Search",1056,31,40.83,False,1,72.97
"2025-07-12","CMP-1002","Paid Search",707,27,35.71,False,3,237.77
"2025-06-20","CMP-1002","Paid Search",1239,48,48.26,False,3,362.03
"2025-02-08","CMP-1002","Paid Search",755,38,75.66,False,1,107.01
"2025-03-31","CMP-1002","Paid Search",965,46,53.52,False,2,192.32
"2025-06-10","CMP-1002","Paid Search",938,34,68.1,False,3,261.36
"2025-03-24","CMP-1002","Paid Search",974,39,75.52,False,4,574.86
"2025-07-18","CMP-1002","Paid Search",929,46,45.09,False,3,249.52
"2025-05-06","CMP-1002","Paid Search",899,52,94.56,False,2,297.44
"2025-04-26","CMP-1002","Paid Search",644,25,46.64,False,3,409.6
"2025-05-01","CMP-1002","Paid Search",822,32,35.13,False,3,201.55
"2025-06-26","CMP-1002","Paid Search",869,30,77.62,False,3,225.77
"2025-01-31","CMP-1002","Paid Search",1158,33,72.28,False,2,161.96
"2025-03-14","CMP-1002","Paid Search",771,48,99.88,False,2,195.03
"2025-03-04","CMP-1002","Paid Search",832,38,68.8,False,4,410.61
"2025-02-22","CMP-1002","Paid Search",812,37,43.39,False,4,474.86
"2025-04-13","CMP-1002","Paid Search",771,36,76.75,False,1,67.28
"2025-07-06","CMP-1002","Paid Search",964,55,132.36,False,6,584.47
"2025-06-21","CMP-1002","Paid Search",854,39,38.02,False,3,165.42
"2025-07-16","CMP-1002","Paid Search",1050,53,123.06,False,2,206.05
"2025-04-01","CMP-1002","Paid Search",969,43,58.7,False,1,84.31
"2025-02-25","CMP-1002","Paid Search",1235,26,31.97,False,3,418.81
"2025-04-11","CMP-1002","Paid Search",938,67,63.77,False,3,291.26
"2025-06-23","CMP-1002","Paid Search",1096,49,90.31,False,3,338.76
"2025-04-08","CMP-1002","Paid Search",1133,41,97.82,False,0,0.0
"2025-07-30","CMP-1002","Paid Search",1127,41,103.49,False,1,123.02
"2025-04-23","CMP-1002","Paid Search",1079,70,98.69,False,1,83.1
"2025-03-13","CMP-1002","Paid Search",867,63,141.98,False,3,360.84
"2025-05-24","CMP-1002","Paid Search",719,8,8.31,False,0,0.0
"2025-04-25","CMP-1002","Paid Search",1123,52,87.82,False,1,119.48
"2025-02-09","CMP-1002","Paid Search",719,38,62.11,False,4,278.4
"2025-07-08","CMP-1002","Paid Search",825,47,59.05,False,5,426.05
"2025-04-03","CMP-1002","Paid Search",1265,65,112.58,False,3,446.13
"2025-04-09","CMP-1002","Paid Search",1136,71,119.22,False,3,390.48
"2025-05-21","CMP-1002","Paid Search",1160,40,42.99,False,2,238.54
"2025-05-31","CMP-1002","Paid Search",583,16,22.97,False,1,133.46
"2025-05-15","CMP-1002","Paid Search",494,18,28.27,False,1,125.8
"2025-04-28","CMP-1002","Paid Search",1127,32,73.45,False,0,0.0
"2025-04-10","CMP-1002","Paid Search",914,45,76.17,False,2,197.44
"2025-05-03","CMP-1002","Paid Search",737,25,51.22,False,1,76.07
"2025-03-15","CMP-1002","Paid Search",854,51,53.56,False,2,142.92
"2025-02-13","CMP-1002","Paid Search",1158,33,82.7,False,1,110.65
"2025-06-07","CMP-1002","Paid Search",977,31,77.16,False,2,265.71
"2025-04-19","CMP-1002","Paid Search",711,30,30.15,False,3,295.78
"2025-07-23","CMP-1002","Paid Search",967,25,22.51,False,0,0.0
"2025-05-12","CMP-1002","Paid Search",969,41,91.78,False,2,182.94
"2025-02-11","CMP-1002","Paid Search",864,31,78.94,False,0,0.0
"2025-03-16","CMP-1002","Paid Search",730,35,71.18,False,4,333.7
"2025-02-05","CMP-1002","Paid Search",850,39,92.87,False,2,233.55
"2025-07-10","CMP-1002","Paid Search",908,24,52.0,False,0,0.0
"2025-02-12","CMP-1002","Paid Search",934,40,37.03,False,3,280.96
"2025-07-07","CMP-1002","Paid Search",855,44,58.76,False,4,385.39
"2025-06-25","CMP-1002","Paid Search",776,23,27.7,False,1,108.2
"2025-06-13","CMP-1002","Paid Search",995,32,79.91,False,3,228.91
"2025-02-02","CMP-1002","Paid Search",839,50,125.5,False,0,0.0
"2025-03-20","CMP-1002","Paid Search",1341,88,137.43,False,9,1039.81
"2025-03-22","CMP-1002","Paid Search",1050,44,110.04,False,3,302.97
"2025-04-02","CMP-1002","Paid Search",815,18,33.77,False,3,272.74
"2025-05-07","CMP-1002","Paid Search",1158,47,68.28,False,3,274.03
"2025-03-26","CMP-1002","Paid Search",949,38,39.66,False,5,578.34
"2025-02-03","CMP-1002","Paid Search",903,46,42.29,False,2,241.79
"2025-03-09","CMP-1002","Paid Search",674,37,82.49,False,2,151.34
"2025-03-03","CMP-1002","Paid Search",535,16,35.96,False,1,101.84
"2025-04-15","CMP-1002","Paid Search",1003,53,122.2,False,3,266.44
"2025-07-01","CMP-1002","Paid Search",1293,50,67.21,False,4,283.24
"2025-04-22","CMP-1002","Paid Search",1248,45,54.62,False,3,169.42
"2025-07-02","CMP-1002","Paid Search",1036,44,41.39,False,1,98.93
"2025-03-07","CMP-1002","Paid Search",686,37,56.73,False,2,221.08
"2025-04-30","CMP-1002","Paid Search",959,44,109.36,False,0,0.0
"2025-05-11","CMP-1002","Paid Search",725,34,84.15,False,0,0.0
"2025-06-22","CMP-1002","Paid Search",713,33,36.62,False,0,0.0
