date,campaign_id,channel,impressions,clicks,spend,conversions,revenue
2025-08-10,CMP-1020,Organic Social,3261,60,0.0,1,43.35
2025-10-23,CMP-1008,Email,1386,18,3.06,2,131.85
2025-04-01,CMP-1020,Organic Social,2977,71,0.0,0,0.0
2025-02-06,CMP-1002,Paid Search,1262,61,111.82,2,195.23
2025-06-08,CMP-1003,PPC,996,25,49.97,0,0.0
2025-08-14,CMP-1019,Organic Social,4387,39,0.0,0,0.0
2025-07-09,CMP-1009,Email,1343,19,1.69,1,94.39
2025-04-15,CMP-1010,Email ,1182,31,1.9,2,125.95
2025-04-03,CMP-1000,Paid Search,1445,61,62.77,2,276.34
2025-04-20,CMP-1001,Paid Search,3011,178,221.7,8,904.37
2025-08-06,CMP-1020,Organic Social,4516,68,0.0,1,85.34
2025-04-06,CMP-1008,Email,846,26,5.13,1,82.87
2025-06-10,CMP-1003,Paid Search,721,45,106.9,1,76.64
2025-03-01,CMP-1009,Email,891,30,2.75,3,351.76
2025-02-28,CMP-1013,Display,2906,12,5.94,0,0.0
2025-02-14,CMP-1011,Email,5201,162,21.37,7,754.5
2025-05-20,CMP-1009,Email,1116,14,1.62,0,0.0
2025-02-09,CMP-1007,Paid Social,3436,60,65.52,4,323.44
2025-02-12,CMP-1002,Paid Search,934,40,37.03,3,280.96
2025-04-12,CMP-1018,Organic Social,3156,79,0.0,2,165.2
2025-08-13,CMP-1008,Email,1217,35,4.38,4,431.8
2025-06-08,CMP-1014,Display,1235,3,1.57,0,0.0
2025-05-02,CMP-1001,Paid Search,3245,182,247.46,11,1571.18
2025-05-13,CMP-1015,Affiliate,6570,200,105.92,4,292.55
2025-04-16,CMP-1010,Email,1159,42,2.53,2,144.59
2025-07-06,CMP-1002,Paid Search,964,55,132.36,6,584.47
2025-02-19,CMP-1013,Display,1620,6,3.54,0,0.0
2025-03-14,CMP-1016,Affiliate,730,13,10.6,2,292.66
2025-08-03,CMP-1008,Email,1102,43,3.25,3,333.88
2025-09-20,CMP-1019,Organic Social,1945,43,0.0,0,0.0
2025-06-28,CMP-1017,Affiliate,492,9,8.29,0,0.0
2025-04-01,CMP-1008,Email,1207,41,7.76,3,377.57
2025-04-24,CMP-1020,Organic Social,4941,83,0.0,4,270.49
2025-04-22,CMP-1001,Paid Search,4644,220,528.42,15,1420.15
2025-03-05,CMP-1009,Email,1068,36,4.71,3,223.9
2025-03-09,CMP-1017,Affiliate,385,3,3.35,0,0.0
2025-04-26,CMP-1017,Affiliate,547,8,6.06,0,0.0
2025-06-02,CMP-1020,Organic Social,3378,78,0.0,1,55.38
2025-07-15,CMP-1020,Organic Social,3664,47,0.0,0,0.0
2025-07-19,CMP-1004,Paid Social,1348,17,15.86,0,0.0
2025-09-09,CMP-1019,Organic Social,4068,55,0.0,0,0.0
2025-06-10,CMP-1004,Paid Social,1230,7,6.2,1,85.6
2025-07-07,CMP-1000,Paid Search,2701,188,359.19,8,924.7
2025-02-23,CMP-1012,Display,6123,30,32.67,0,0.0
2025-04-23,CMP-1013,Display,1916,4,2.76,0,0.0
2025-05-05,CMP-1011,Email,4275,108,11.12,14,1577.95
2025-08-05,CMP-1014,Display,1274,4,4.35,0,0.0
2025-07-07,CMP-1014,Display,530,1,0.72,0,0.0
2025-07-20,CMP-1003,Paid Search,894,39,75.96,1,85.3
2025-06-28,CMP-1004,Paid Social,1294,16,24.95,0,0.0
2025-03-22,CMP-1018,Organic Social,2837,39,0.0,0,0.0
2025-10-05,CMP-1019,Organic Social,2757,71,0.0,0,0.0
2025-07-10,CMP-1009,Email,1135,25,1.82,2,204.11
2025-02-15,CMP-1000,Paid Search,1966,82,149.45,2,267.2
2025-11-24,CMP-1008,Email,1810,67,8.34,8,544.75
2025-02-11,CMP-1007,Paid Social,4019,58,81.12,0,0.0
2025-09-10,CMP-1004,Paid Social,1757,7,5.52,0,0.0
2025-04-01,CMP-1007,Paid Social,4159,60,95.48,0,0.0
2025-05-20,CMP-1011,Email,2164,94,6.27,14,1723.48
2025-06-30,CMP-1006,Paid Social,2033,14,16.61,0,0.0
2025-06-09,CMP-1018,Organic Social,3022,72,0.0,1,68.06
2025-03-28,CMP-1007,Paid Social,3680,65,111.23,3,206.89
2025-07-11,CMP-1019,Organic Social,2907,48,0.0,1,73.22
2025-02-14,CMP-1013,Display,2386,4,2.13,0,0.0
2025-10-11,CMP-1019,Organic Social,2380,65,0.0,3,235.24
2025-06-13,CMP-1009,Email,1378,49,9.09,4,221.62
2025-06-26,CMP-1000,Paid Search,2970,166,241.69,14,1832.36
2025-04-18,CMP-1001,Paid Search,2785,153,325.53,8,995.59
2025-07-16,CMP-1006,Paid Social,1569,24,34.46,1,103.62
2025-04-14,CMP-1012,Display,2823,11,10.74,0,0.0
2025-03-29,CMP-1002,Paid Search,535,17,20.14,1,82.12
2025-04-03,CMP-1010,Email,1365,18,0.9,2,175.25
2025-06-19,CMP-1016,Affiliate,785,9,9.18,0,0.0
2025-03-08,CMP-1010,Email,906,25,1.54,0,0.0
2025-08-03,CMP-1000,Paid Search,1986,72,153.97,3,347.28
2025-08-20,CMP-1020,Organic Social,4670,80,0.0,2,143.77
2025-05-07,CMP-1015,Affiliate,6087,161,65.94,3,346.06
2025-06-28,CMP-1010,Email,811,19,3.78,1,81.61
2025-02-06,CMP-1012,Display,6054,21,13.79,0,0.0
2025-06-14,CMP-1016,Affiliate,526,5,5.03,0,0.0
2025-04-28,CMP-1003,Paid Search,1286,51,50.47,4,305.21
2025-07-01,CMP-1006,Paid Social,1367,17,17.09,0,0.0
2025-04-24,CMP-1006,Paid Social,1329,30,26.78,0,0.0
2025-03-29,CMP-1011,Email,4453,161,19.45,10,836.79
2025-07-06,CMP-1017,Affiliate,659,13,7.26,0,0.0
2025-04-08,CMP-1011,Email,4405,123,10.72,11,1098.29
2025-09-01,CMP-1003,Paid Search,1421,99,166.45,9,893.96
2025-03-30,CMP-1006,Paid Social,1650,15,20.97,1,65.13
2025-04-05,CMP-1017,Affiliate,432,10,11.29,0,0.0
2025-06-04,CMP-1003,Paid Search,1255,55,121.14,3,270.2
2025-05-23,CMP-1019,Organic Social,2600,47,0.0,2,96.1
2025-06-26,CMP-1004,Paid Social,1134,21,12.56,0,0.0
2025-03-04,CMP-1018,Organic Social,3544,51,0.0,0,0.0
2025-07-03,CMP-1017,Affiliate,637,16,6.96,0,0.0
2025-06-02,CMP-1009,Email,1655,57,4.61,2,142.98
2025-03-20,CMP-1010,Email,1103,44,8.76,2,211.38
2025-04-09,CMP-1020,Organic Social,4070,53,0.0,2,71.78
2025-05-07,CMP-1014,Display,1015,2,1.33,0,0.0
2025-02-11,CMP-1018,Organic Social,4179,92,0.0,2,119.55
2025-07-20,CMP-1008,Email,766,23,3.61,2,295.5
2025-05-21,CMP-1000,Paid Search,1836,108,208.78,2,156.43
2025-08-08,CMP-1008,Email,1044,38,3.12,4,415.69
2025-07-06,CMP-1006,Paid Social,1940,20,28.46,0,0.0
2025-03-10,CMP-1007,Paid Social,2806,40,61.29,0,0.0
2025-06-19,CMP-1019,Organic Social,3200,52,0.0,2,175.24
2025-06-26,CMP-1010,Email,992,46,6.91,1,46.29
2025-06-24,CMP-1014,Display,1997,12,8.11,1,125.16
2025-04-13,CMP-1009,Email,805,29,2.48,0,0.0
2025-03-17,CMP-1007,Paid Social,3432,38,49.32,1,94.57
2025-09-07,CMP-1016,Affiliate,529,9,10.5,0,0.0
2025-03-06,CMP-1009,Email,1440,38,2.87,4,431.27
2025-04-25,CMP-1018,Organic Social,2933,54,0.0,1,60.4
2025-07-11,CMP-1017,Affiliate,746,16,14.67,1,76.59
2025-04-25,CMP-1002,Paid Search,1123,52,87.82,1,119.48
2025-07-07,CMP-1008,Email,1413,28,5.53,0,0.0
2025-05-07,CMP-1008,Email,1118,38,2.19,3,253.22
2025-03-04,CMP-1019,Organic Social,3131,41,0.0,0,0.0
2025-04-02,CMP-1019,Organic Social,4219,97,0.0,4,315.41
2025-04-16,CMP-1002,Paid Search,1130,53,108.83,7,873.81
2025-03-14,CMP-1005,Paid Social,7556,100,82.51,2,163.77
2025-02-16,CMP-1018,Organic Social,2388,60,0.0,0,0.0
2025-09-19,CMP-1004,Paid Social,1052,3,2.91,0,0.0
2025-06-15,CMP-1017,Affiliate,513,13,9.16,0,0.0
2025-06-14,CMP-1002,Paid Search,1095,33,45.24,0,0.0
2025-05-23,CMP-1014,Display,1390,4,3.17,0,0.0
2025-08-04,CMP-1017,Affiliate,743,20,17.31,0,0.0
2025-08-15,CMP-1020,Organic Social,3853,69,0.0,1,43.89
2025-06-02,CMP-1016,Affiliate,1042,25,10.99,1,88.44
2025-02-05,CMP-1007,Paid Social,4018,54,49.97,0,0.0
2025-03-04,CMP-1001,Paid Search,4368,250,336.22,13,1039.33
2025-02-17,CMP-1011,Email,5339,160,10.53,6,695.71
2025-06-16,CMP-1016,Affiliate,780,9,10.17,0,0.0
2025-04-15,CMP-1003,Paid Search,1133,52,86.61,3,253.77
2025-11-12,CMP-1008,Email,2736,76,6.13,3,289.32
2025-08-09,CMP-1020,Organic Social,2400,55,0.0,0,0.0
2025-05-05,CMP-1010,Email,1023,25,1.36,4,468.37
2025-08-20,CMP-1003,Paid Search,1482,42,42.49,4,360.41
2025-07-03,CMP-1003,Paid Search,1137,55,51.08,4,584.1
2025-08-30,CMP-1008,Email,781,17,1.47,3,232.52
2025-04-13,CMP-1004,Paid Social,1052,12,7.46,0,0.0
2025-03-26,CMP-1019,Organic Social,3068,46,0.0,0,0.0
2025-07-14,CMP-1003,Paid Search,1208,84,141.85,4,535.32
2025-07-04,CMP-1002,Paid Search,1327,54,66.84,2,191.25
2025-02-21,CMP-1019,Organic Social,4451,115,0.0,3,162.6
2025-05-27,CMP-1004,Paid Social,1632,21,31.66,0,0.0
2025-04-02,CMP-1016,Affiliate,985,12,12.93,0,0.0
2025-04-12,CMP-1009,Email,575,14,2.53,2,181.58
2025-06-09,CMP-1009,Email,1153,49,4.57,2,137.7
2025-04-13,CMP-1014,Display,1490,10,9.88,0,0.0
2025-05-16,CMP-1013,Display,1918,12,4.68,0,0.0
2025-06-09,CMP-1004,Paid Social,1780,13,16.47,1,75.9
2025-03-24,CMP-1013,Display,2679,9,4.85,0,0.0
2025-04-23,CMP-1008,Email,829,31,3.92,1,127.85
2025-06-13,CMP-1018,Organic Social,3724,60,0.0,1,55.58
2025-06-14,CMP-1010,Email,973,42,6.63,3,340.55
2025-04-23,CMP-1014,Display,1385,9,3.51,0,0.0
2025-07-22,CMP-1020,Organic Social,4933,104,0.0,2,96.11
2025-04-07,CMP-1018,Organic Social,5317,120,0.0,1,65.22
2025-05-25,CMP-1014,Display,1474,7,6.54,0,0.0
2025-04-17,CMP-1004,Paid Social,1467,14,10.49,0,0.0
2025-05-16,CMP-1014,Display,1899,11,10.04,0,0.0
2025-04-04,CMP-1004,Paid Social,1799,20,32.43,0,0.0
2025-07-25,CMP-1002,Paid Search,1016,49,81.1,5,778.42
2025-08-04,CMP-1000,Paid Search,2467,102,179.51,7,804.91
2025-09-09,CMP-1004,Paid Social,1838,19,18.41,0,0.0
2025-02-24,CMP-1000,Paid Search,2221,103,265.29,9,629.34
2025-08-14,CMP-1004,Paid Social,1693,21,27.21,0,0.0
2025-09-23,CMP-1017,Affiliate,839,22,24.95,1,115.55
2025-07-05,CMP-1004,Paid Social,1012,15,17.77,1,89.26
2025-07-10,CMP-1004,Paid Social,1909,12,15.97,0,0.0
2025-08-10,CMP-1019,Organic Social,3264,73,0.0,3,203.57
2025-03-19,CMP-1006,Paid Social,1302,13,9.91,0,0.0
2025-06-26,CMP-1009,Email,1117,28,4.4,3,336.16
2025-05-10,CMP-1010,Email,1009,28,4.27,1,116.14
2025-06-02,CMP-1002,Paid Search,1077,37,34.92,2,211.5
2025-06-28,CMP-1008,Email,754,21,3.15,1,62.81
2025-05-24,CMP-1011,Email,4760,125,19.36,6,329.76
2025-04-02,CMP-1015,Affiliate,8202,219,89.54,2,228.66
2025-06-29,CMP-1002,Paid Search,642,42,105.58,3,247.64
2025-06-02,CMP-1013,Display,1975,5,5.41,1,121.29
2025-04-11,CMP-1003,Paid Search,1609,119,292.51,6,445.45
2025-05-05,CMP-1000,Paid Search,2389,109,259.03,10,937.26
2025-06-01,CMP-1003,Paid Search,692,24,60.49,2,118.71
2025-07-25,CMP-1014,Display,1987,6,3.68,0,0.0
2025-03-25,CMP-1002,Paid Search,853,76,142.38,5,526.15
2025-03-04,CMP-1016,Affiliate,653,11,11.49,1,121.29
2025-03-21,CMP-1002,PPC,1105,20,51.85,1,69.96
2025-03-21,CMP-1014,Display,1997,7,6.36,0,0.0
2025-06-01,CMP-1004,Paid Social,1369,14,21.92,0,0.0
2025-05-12,CMP-1000,Paid Search,2508,122,232.21,8,553.52
2025-07-27,CMP-1006,Paid Social,1780,22,22.84,0,0.0
2025-04-29,CMP-1019,Organic Social,3772,51,0.0,2,158.2
2025-04-17,CMP-1007,Paid Social,3784,50,76.15,2,174.32
2025-07-27,CMP-1003,Paid Search,1044,38,40.74,2,177.55
2025-04-07,CMP-1002,Paid Search,830,40,60.98,4,452.9
2025-07-12,CMP-1020,Organic Social,2520,60,0.0,1,64.24
2025-06-06,CMP-1018,Organic Social,4362,81,0.0,2,186.68
2025-04-30,CMP-1011,Email ,6005,73,,7,902.51
2025-05-31,CMP-1016,Affiliate,578,20,10.47,0,0.0
2025-07-30,CMP-1000,Paid Search,2553,161,178.12,14,1513.7
2025-03-24,CMP-1006,Paid Social,1968,19,33.87,0,0.0
2025-01-29,CMP-1016,Affiliate,543,8,5.56,0,0.0
2025-04-17,CMP-1018,Organic Social,5292,78,0.0,0,0.0
2025-02-08,CMP-1013,Display,1277,4,3.6,0,0.0
2025-05-22,CMP-1000,Paid Search,2531,106,270.03,10,681.85
2025-11-11,CMP-1008,Email,2230,69,10.75,2,123.75
2025-05-26,CMP-1004,Paid Social,1089,17,22.21,0,0.0
2025-06-13,CMP-1019,Organic Social,2413,47,0.0,0,0.0
2025-05-21,CMP-1016,Affiliate,790,10,5.37,1,82.74
2025-05-18,CMP-1013,Display,1542,12,8.26,0,0.0
2025-05-23,CMP-1010,Email,1721,60,10.55,3,328.88
2025-04-06,CMP-1007,Paid Social,2383,16,26.09,1,69.88
2025-07-10,CMP-1014,Display,1700,10,3.68,0,0.0
2025-06-01,CMP-1008,Email,1005,30,1.87,4,540.5
2025-08-14,CMP-1016,Affiliate,755,12,10.19,0,0.0
2025-03-11,CMP-1002,Paid Search,1353,60,118.5,4,286.94
2025-06-10,CMP-1011,Email,5696,165,31.39,11,1274.2
2025-05-02,CMP-1011,Email,4475,132,25.25,8,725.74
2025-05-25,CMP-1013,Display,1743,5,2.93,0,0.0
2025-02-21,CMP-1012,Display,7889,31,34.07,0,0.0
2025-05-20,CMP-1006,Paid Social,1624,10,11.64,0,0.0
2025-04-26,CMP-1003,Paid Search,1145,36,52.98,3,207.73
2025-08-08,CMP-1020,Organic Social,2780,58,0.0,0,0.0
2025-02-12,CMP-1013,Display,2355,9,6.54,0,0.0
2025-08-13,CMP-1019,Organic Social,4232,59,0.0,0,0.0
2025-04-24,CMP-1007,Paid Social,3967,56,99.36,0,0.0
2025-04-30,CMP-1007,Paid Social,4296,41,,0,0.0
2025-03-17,CMP-1009,Email,1253,52,3.28,3,330.64
2025-06-10,CMP-1006,Social Paid,2066,32,53.28,0,0.0
2025-09-08,CMP-1003,Paid Search,1146,56,115.72,5,610.67
2025-06-14,CMP-1011,Email,4483,157,28.58,7,599.13
2025-05-12,CMP-1004,Paid Social,1459,18,13.38,0,0.0
2025-07-12,CMP-1004,Paid Social,1228,14,19.79,1,75.06
2025-05-29,CMP-1008,Email,1381,43,392.0,1,70.22
2025-07-29,CMP-1000,Paid Search,1867,99,200.23,1,72.43
2025-04-14,CMP-1003,Paid Search,1078,30,45.53,4,546.68
2025-04-01,CMP-1016,Affiliate,922,18,21.13,0,0.0
2025-06-09,CMP-1014,Display,1419,4,2.45,0,0.0
2025-07-10,CMP-1002,Paid Search,908,24,52.0,0,0.0
2025-02-06,CMP-1011,Email,5764,109,15.41,12,985.28
2025-11-27,CMP-1004,Paid Social,3263,49,58.44,1,89.19
2025-04-06,CMP-1018,Organic Social,1876,30,0.0,0,0.0
2025-04-03,CMP-1012,Display,8200,43,20.35,0,0.0
2025-06-12,CMP-1010,Email,1169,11,1.85,2,200.04
2025-08-03,CMP-1004,Paid Social,899,13,9.72,1,63.34
2025-06-03,CMP-1010,Email,1624,47,5.73,5,617.49
2025-05-05,CMP-1006,Paid Social,1650,29,42.33,0,0.0
2025-03-16,CMP-1013,Display,1489,6,5.67,0,0.0
2025-11-16,CMP-1004,Paid Social,1851,22,30.98,1,53.11
2025-03-05,CMP-1016,Affiliate,958,28,33.14,1,68.16
2025-03-15,CMP-1012,Display,2822,12,8.0,0,0.0
2025-04-24,CMP-1005,Paid Social,7294,57,56.18,1,68.91
2025-04-17,CMP-1001,Paid Search,2090,80,156.41,1,85.53
2025-07-30,CMP-1014,Display,1472,1,1.03,0,0.0
2025-04-24,CMP-1011,Email,6273,242,13.66,14,1631.99
2025-07-03,CMP-1002,Paid Search,1080,43,101.69,3,381.36
2025-07-09,CMP-1017,Affiliate,967,8,3.7,0,0.0
2025-03-09,CMP-1014,Display,1408,2,1.77,0,0.0
2025-07-12,CMP-1017,Affiliate,596,17,9.39,0,0.0
2025-05-19,CMP-1010,Email,838,42,2.37,1,64.73
2025-04-30,CMP-1016,Affiliate,674,15,13.6,0,0.0
2025-04-23,CMP-1017,Affiliate,602,14,13.92,1,81.53
2025-02-17,CMP-1012,Display,5727,23,11.03,0,0.0
2025-06-17,CMP-1017,Affiliate,708,9,4.51,0,0.0
2025-06-20,CMP-1002,Paid Search,1239,48,48.26,3,362.03
2025-08-01,CMP-1003,Paid Search,1247,48,72.3,2,160.39
2025-02-21,CMP-1011,e-mail,6742,135,7.42,18,1665.26
2025-04-05,CMP-1008,Email,1024,28,2.27,2,201.05
2025-03-03,CMP-1009,Email,1546,56,10.2,5,371.67
2025-08-26,CMP-1017,Affiliate,744,20,13.38,0,0.0
2025-07-24,CMP-1014,Display,1595,2,2.01,0,0.0
2025-07-11,CMP-1006,Paid Social,2190,26,37.23,1,59.2
2025-04-13,CMP-1017,Affiliate,517,9,9.22,0,0.0
2025-09-22,CMP-1008,Email,1025,21,1.66,1,74.23
2025-10-28,CMP-1008,Email,1145,37,3.79,2,221.05
2025-04-11,CMP-1001,Paid Search,4744,302,482.1,23,1808.15
2025-07-25,CMP-1016,Affiliate,605,6,4.7,0,0.0
2025-06-04,CMP-1009,Email,1055,34,5.51,5,442.81
2025-09-07,CMP-1017,Affiliate,578,13,11.45,0,0.0
2025-05-24,CMP-1004,Paid Social,1401,15,22.31,2,172.62
2025-07-01,CMP-1017,Affiliate,640,11,10.75,1,56.69
2025-06-14,CMP-1008,Email,1006,26,4.22,2,162.57
2025-11-12,CMP-1004,Paid Social,2363,24,20.84,0,0.0
2025-06-11,CMP-1018,Organic Social,4309,98,0.0,2,140.65
2025-10-17,CMP-1004,Paid Social,1789,13,16.2,0,0.0
2025-03-11,CMP-1016,Affiliate,1003,29,27.45,0,0.0
2025-06-17,CMP-1020,Organic Social,4545,111,0.0,1,57.79
2025-04-25,CMP-1005,Paid Social,8427,96,7056.0,2,151.78
2025-04-16,CMP-1018,Organic Social,4628,95,0.0,3,252.0
2025-04-02,CMP-1010,Email,1306,38,6.15,6,514.21
2025-03-05,CMP-1019,Organic Social,3895,17,0.0,2,143.98
2025-07-07,CMP-1009,Email,1113,12,2.18,0,0.0
2025-05-23,CMP-1000,Paid Search,2072,106,202.25,7,578.1
2025-04-14,CMP-1015,Affiliate,7556,185,178.87,6,557.88
2025-03-23,CMP-1005,Paid Social,4065,29,35.65,0,0.0
2025-07-03,CMP-1019,Organic Social,3406,84,0.0,0,0.0
2025-05-18,CMP-1018,Organic Social,3769,56,,1,73.73
2025-03-28,CMP-1011,Email,5773,147,26.12,5,460.62
2025-04-17,CMP-1019,Organic Social,3077,29,0.0,0,0.0
2025-04-03,CMP-1007,Paid Social,2869,58,56.18,3,151.53
2025-08-26,CMP-1004,Paid Social,1501,20,19.66,0,0.0
2025-08-12,CMP-1004,Paid Social,1871,4,2.21,0,0.0
2025-04-20,CMP-1004,Paid Social,1230,11,17.82,0,0.0
2025-08-12,CMP-1000,Paid Search,2338,157,228.89,4,425.6
2025-07-16,CMP-1003,Paid Search,1131,45,94.85,1,102.38
2025-02-17,CMP-1018,Organic Social,2924,56,0.0,0,0.0
2025-06-10,CMP-1000,Paid Search,2326,84,87.04,7,737.27
2025-08-06,CMP-1017,Affiliate,1000,32,29.5,1,78.01
2025-05-31,CMP-1010,Email,947,28,3.29,3,310.43
2025-09-16,CMP-1003,Paid Search,1034,38,57.21,2,220.97
2025-11-19,CMP-1004,Paid Social,2154,17,24.66,0,0.0
2025-05-21,CMP-1008,Email,1248,30,3.45,2,200.19
2025-06-01,CMP-1010,Email,1009,28,3.19,3,301.99
2025-02-13,CMP-1011,Email,6064,153,10.83,13,980.56
2025-02-14,CMP-1002,Paid Search,1232,82,155.06,8,615.99
2025-05-31,CMP-1019,Organic Social,3164,44,0.0,1,73.56
2025-08-18,CMP-1017,Affiliate,731,11,7.97,0,0.0
2025-03-11,CMP-1012,Display,6901,37,29.3,1,82.23
2025-06-06,CMP-1000,Paid Search,2116,50,78.36,4,439.47
2025-10-07,CMP-1017,Affiliate,592,11,9.56,0,0.0
2025-05-17,CMP-1004,Paid Social,1150,13,15.55,0,0.0
